cx,cy,w,h,area_px
834,855,8,8,49.0
104,876,9,9,64.0
128,876,9,9,64.0
151,876,8,9,56.0
175,875,9,9,63.5
199,876,9,9,64.0
222,876,8,9,56.0
246,876,8,9,56.0
270,876,9,9,64.0
293,876,8,9,56.0
317,876,8,9,56.0
341,876,9,9,64.0
364,876,8,9,56.0
388,876,8,9,56.0
412,876,9,9,64.0
919,878,9,9,63.0
943,878,8,9,56.0
967,878,9,9,64.0
991,878,9,9,64.0
1014,878,8,9,56.0
1038,878,8,9,56.0
1062,878,9,9,64.0
1085,878,8,9,56.0
1109,878,8,9,56.0
1133,878,9,9,64.0
1156,878,8,9,56.0
1180,878,8,9,56.0
1204,878,9,9,64.0
1227,878,8,9,56.0
503,879,9,8,56.0
526,879,8,8,49.0
550,879,8,8,49.0
574,879,9,8,56.0
597,879,8,8,49.0
621,879,8,8,49.0
645,879,9,8,56.0
668,879,8,8,49.0
692,879,8,8,49.0
716,879,9,8,56.0
740,879,9,8,56.0
763,879,8,8,49.0
787,879,9,8,56.0
811,879,9,8,56.0
834,879,8,8,49.0
80,901,8,9,56.0
104,901,9,9,64.0
127,901,8,9,56.0
151,901,8,9,56.0
175,901,9,9,64.0
198,901,8,9,56.0
222,901,8,9,56.0
246,901,9,9,64.0
269,901,8,9,56.0
293,901,8,9,56.0
317,901,9,9,64.0
340,901,9,9,63.5
364,901,8,9,56.0
388,901,9,9,64.0
412,901,9,9,64.0
503,903,9,9,64.0
526,903,8,9,56.0
550,903,8,9,56.0
574,903,9,9,64.0
597,903,8,9,56.0
621,903,8,9,56.0
645,903,9,9,64.0
668,903,8,9,56.0
692,903,8,9,56.0
716,903,9,9,64.0
739,902,9,9,63.5
763,903,8,9,56.0
787,903,9,9,64.0
811,903,9,9,64.0
834,903,8,9,56.0
920,901,9,8,56.0
943,901,8,8,49.0
967,901,9,8,56.0
991,901,9,8,56.0
1014,901,8,8,49.0
1038,901,8,8,49.0
1062,901,9,8,56.0
1085,901,8,8,49.0
1109,901,8,8,49.0
1133,901,9,8,56.0
1156,901,8,8,49.0
1180,901,8,8,49.0
1204,901,9,8,56.0
1227,901,8,8,49.0
80,925,8,9,56.0
104,925,9,9,64.0
127,925,8,9,56.0
151,925,8,9,56.0
175,925,9,9,64.0
198,925,8,9,56.0
246,925,9,9,64.0
269,925,8,9,56.0
340,924,9,9,63.5
364,925,8,9,56.0
388,924,9,9,63.5
