cx,cy,w,h,area_px
668,797,15,14,182.0
698,797,14,14,169.0
728,797,14,14,169.0
758,797,14,14,169.0
789,797,15,14,181.0
819,797,14,14,169.0
849,797,14,14,169.0
879,797,14,14,169.0
985,797,14,14,169.0
1016,797,14,14,169.0
1046,797,14,14,169.0
1076,797,14,14,169.0
1106,797,14,14,169.0
1137,797,14,14,169.0
1167,797,14,14,169.0
1197,797,14,14,169.0
195,827,14,14,169.0
225,827,14,14,169.0
255,827,14,14,169.0
285,827,14,14,169.0
316,827,14,14,169.0
346,827,14,14,169.0
376,827,14,14,169.0
407,827,15,14,182.0
486,827,14,14,169.0
516,827,14,14,169.0
546,827,14,14,169.0
577,827,14,14,169.0
607,827,14,14,169.0
637,827,14,14,169.0
668,827,15,14,182.0
698,827,14,14,169.0
728,827,14,14,169.0
758,827,14,14,169.0
789,827,15,14,181.0
819,827,14,14,169.0
849,827,14,14,169.0
879,827,14,14,169.0
910,827,14,14,169.0
985,827,14,14,169.0
1016,827,15,14,181.0
1046,827,14,14,169.0
1076,827,14,14,169.0
1106,827,14,14,169.0
1137,827,14,14,169.0
1167,827,14,14,169.0
1197,827,14,14,169.0
195,857,14,14,169.0
225,857,14,14,169.0
255,857,14,14,169.0
285,857,15,14,181.0
316,857,14,14,169.0
346,857,14,14,169.0
376,857,14,14,169.0
406,857,15,14,181.5
486,857,14,14,169.0
516,857,14,14,169.0
546,857,14,14,168.5
577,857,14,14,169.0
607,857,14,14,169.0
637,857,14,14,169.0
668,857,15,14,181.5
698,857,14,14,169.0
728,857,14,14,169.0
758,857,14,14,169.0
789,857,15,14,181.5
819,857,14,14,169.0
849,857,14,14,169.0
879,857,14,14,169.0
985,857,14,14,169.0
1016,857,14,14,168.5
1046,857,14,14,169.0
1076,857,14,14,169.0
1106,857,14,14,169.0
1137,857,14,14,169.0
1167,857,14,14,169.0
1197,857,14,14,169.0
376,888,14,15,181.0
407,888,15,15,194.0
486,888,14,15,181.0
547,888,15,15,194.0
577,888,14,15,181.5
607,888,14,15,181.0
637,888,14,15,181.0
668,888,15,15,194.0
698,888,14,15,181.0
728,888,14,15,181.0
758,888,14,15,181.5
789,888,15,15,194.5
849,888,14,15,181.0
910,888,14,15,181.5
985,888,14,15,181.5
1016,888,15,15,194.5
1046,888,14,15,181.0
1167,888,14,15,181.0
1197,888,14,15,181.0
195,888,14,14,168.5
225,888,14,14,169.0
255,888,14,14,169.0
285,888,14,14,168.5
316,888,14,14,168.5
346,888,14,14,169.0
516,888,14,14,169.0
819,888,14,14,169.0
879,888,14,14,168.5
1076,888,14,14,169.0
1106,888,14,14,168.5
1137,888,14,14,168.5
195,918,14,14,169.0
225,918,14,14,169.0
255,918,14,14,169.0
285,918,15,14,181.0
316,918,14,14,169.0
346,918,14,14,169.0
376,918,14,14,169.0
406,918,14,14,168.5
486,918,14,14,169.0
516,918,14,14,169.0
546,918,14,14,168.5
577,918,14,14,169.0
607,918,14,14,169.0
637,918,14,14,169.0
668,918,15,14,182.0
698,918,14,14,169.0
728,918,14,14,169.0
758,918,14,14,169.0
789,918,14,14,169.0
819,918,14,14,169.0
849,918,14,14,169.0
879,918,14,14,169.0
985,918,14,14,169.0
1016,918,15,14,181.0
1046,918,14,14,169.0
1076,918,14,14,169.0
1106,918,14,14,169.0
1137,918,14,14,169.0
1167,918,14,14,169.0
1197,918,14,14,169.0
195,948,14,14,169.0
225,948,14,14,169.0
255,948,14,14,169.0
285,948,14,14,169.0
316,948,14,14,169.0
346,948,14,14,169.0
376,948,14,14,169.0
406,948,14,14,168.5
486,948,14,14,169.0
516,948,14,14,169.0
546,948,14,14,168.5
577,948,14,14,169.0
607,948,14,14,169.0
637,948,14,14,169.0
668,948,15,14,182.0
698,948,14,14,169.0
728,948,14,14,169.0
758,948,14,14,169.0
789,948,15,14,181.0
819,948,14,14,169.0
849,948,14,14,169.0
879,948,14,14,169.0
910,948,14,14,169.0
985,948,14,14,169.0
1016,948,15,14,181.0
1046,948,14,14,169.0
1076,948,14,14,169.0
1106,948,14,14,169.0
1137,948,14,14,169.0
1167,948,14,14,169.0
1197,948,14,14,169.0
376,978,14,14,169.0
406,978,15,14,181.5
486,978,14,14,169.0
516,978,14,14,169.0
546,978,15,14,181.5
577,978,14,14,169.0
637,978,14,14,169.0
668,978,15,14,181.0
698,978,14,14,169.0
728,978,14,14,169.0
819,978,14,14,169.0
849,978,14,14,169.0
879,978,14,14,169.0
910,978,14,14,169.0
985,978,14,14,169.0
1016,978,15,14,181.5
